Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
01001,01400,46.1534255214,4.92611354223,L'Abergement-Clémenciat,Ain,Auvergne-Rhône-Alpes,767.0,832.0
01002,01640,46.0091878776,5.42801696363,L'Abergement-de-Varey,Ain,Auvergne-Rhône-Alpes,241.0,267.0
01004,01500,45.9608475114,5.3729257777,Ambérieu-en-Bugey,Ain,Auvergne-Rhône-Alpes,14127.0,14854.0
01005,01330,45.9961799872,4.91227250796,Ambérieux-en-Dombes,Ain,Auvergne-Rhône-Alpes,1619.0,1897.0
01006,01300,45.7494989044,5.59432017366,Ambléon,Ain,Auvergne-Rhône-Alpes,109.0,113.0
01007,01500,46.0055913782,5.35760660735,Ambronay,Ain,Auvergne-Rhône-Alpes,2615.0,2833.0
01008,01500,45.9367134524,5.3328092349,Ambutrix,Ain,Auvergne-Rhône-Alpes,747.0,768.0
01009,01300,45.7873565333,5.65788307924,Andert-et-Condon,Ain,Auvergne-Rhône-Alpes,342.0,322.0
01010,01350,45.9093715116,5.79516005674,Anglefort,Ain,Auvergne-Rhône-Alpes,1133.0,1125.0
01011,01100,46.2054981558,5.65781475272,Apremont,Ain,Auvergne-Rhône-Alpes,390.0,383.0
01012,01110,46.0015344029,5.51130637511,Aranc,Ain,Auvergne-Rhône-Alpes,327.0,327.0
01013,01230,45.8908155275,5.49870439091,Arandas,Ain,Auvergne-Rhône-Alpes,153.0,141.0
01014,01100,46.2834936005,5.69061651221,Arbent,Ain,Auvergne-Rhône-Alpes,3392.0,3409.0
01015,01300,45.7237621545,5.65263086429,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes,637.0,667.0
01015,01300,45.7237621545,5.65263086429,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes,637.0,667.0
01016,01190,46.4776762988,4.9599416863,Arbigny,Ain,Auvergne-Rhône-Alpes,453.0,459.0
01017,01230,45.9337182132,5.48251100314,Argis,Ain,Auvergne-Rhône-Alpes,433.0,432.0
01019,01510,45.8541838459,5.58357838695,Armix,Ain,Auvergne-Rhône-Alpes,24.0,26.0
01021,01480,45.9934611,4.82199649494,Ars-sur-Formans,Ain,Auvergne-Rhône-Alpes,1370.0,1498.0
01022,01510,45.8695891748,5.69065283943,Artemare,Ain,Auvergne-Rhône-Alpes,1210.0,1177.0
01023,01570,46.3857281418,4.88387478623,Asnières-sur-Saône,Ain,Auvergne-Rhône-Alpes,64.0,77.0
01024,01340,46.2861802203,5.1795233845,Attignat,Ain,Auvergne-Rhône-Alpes,3328.0,3336.0
01025,01380,46.3233203302,4.9528678933,Bâgé-Dommartin,Ain,Auvergne-Rhône-Alpes,3177.0,4065.0
01026,01380,46.3077069231,4.92862084189,Bâgé-le-Châtel,Ain,Auvergne-Rhône-Alpes,902.0,979.0
01027,01360,45.8311226453,5.10780019249,Balan,Ain,Auvergne-Rhône-Alpes,2997.0,2692.0
01028,01990,46.1141214445,4.90146475101,Baneins,Ain,Auvergne-Rhône-Alpes,597.0,621.0
01029,01270,46.4288360203,5.26003405676,Beaupont,Ain,Auvergne-Rhône-Alpes,682.0,700.0
01030,01480,46.0008580204,4.75600664694,Beauregard,Ain,Auvergne-Rhône-Alpes,889.0,830.0
01031,01100,46.2373497134,5.6360052884,Bellignat,Ain,Auvergne-Rhône-Alpes,3612.0,3636.0
01032,01360,45.8591464826,5.13989505865,Béligneux,Ain,Auvergne-Rhône-Alpes,3300.0,3434.0
01032,01360,45.8591464826,5.13989505865,Béligneux,Ain,Auvergne-Rhône-Alpes,3300.0,3434.0
01032,01360,45.8591464826,5.13989505865,Béligneux,Ain,Auvergne-Rhône-Alpes,3300.0,3434.0
01032,01360,45.8591464826,5.13989505865,Béligneux,Ain,Auvergne-Rhône-Alpes,3300.0,3434.0
01033,01200,46.1067901755,5.83202736464,Bellegarde-sur-Valserine,Ain,Auvergne-Rhône-Alpes,11809.0,16295.0
01034,01300,45.7494697806,5.68412365526,Belley,Ain,Auvergne-Rhône-Alpes,9058.0,9239.0
01035,01130,46.2530316409,5.78471723698,Belleydoux,Ain,Auvergne-Rhône-Alpes,315.0,306.0
01036,01260,45.8847475883,5.65115788055,Belmont-Luthézieu,Ain,Auvergne-Rhône-Alpes,572.0,1342.0
01036,01260,45.8847475883,5.65115788055,Belmont-Luthézieu,Ain,Auvergne-Rhône-Alpes,572.0,1342.0
01037,01470,45.8374974718,5.48285330863,Bénonces,Ain,Auvergne-Rhône-Alpes,288.0,310.0
01038,01370,46.3188629218,5.28253433405,Bény,Ain,Auvergne-Rhône-Alpes,747.0,764.0
01039,01350,45.8568920052,5.75220315052,Béon,Ain,Auvergne-Rhône-Alpes,475.0,
01040,01340,46.3674371012,5.04021655965,Béréziat,Ain,Auvergne-Rhône-Alpes,484.0,480.0
01041,01500,45.9368718303,5.36667617009,Bettant,Ain,Auvergne-Rhône-Alpes,753.0,749.0
01042,01290,46.2191748844,4.84642690241,Bey,Ain,Auvergne-Rhône-Alpes,271.0,290.0
01043,01700,45.8390325448,4.99738002182,Beynost,Ain,Auvergne-Rhône-Alpes,4529.0,4877.0
01044,01200,46.0791346715,5.76591818163,Billiat,Ain,Auvergne-Rhône-Alpes,601.0,626.0
01045,01330,45.9533995502,5.03666479984,Birieux,Ain,Auvergne-Rhône-Alpes,287.0,284.0
01046,01290,46.2266794269,4.94084673168,Biziat,Ain,Auvergne-Rhône-Alpes,838.0,904.0
01047,01150,45.8469686113,5.25166055884,Blyes,Ain,Auvergne-Rhône-Alpes,1000.0,1292.0
01049,01120,45.8446213549,5.02783224111,La Boisse,Ain,Auvergne-Rhône-Alpes,2937.0,3361.0
01050,01190,46.3727973545,4.9989764059,Boissey,Ain,Auvergne-Rhône-Alpes,331.0,386.0
01050,01380,46.3727973545,4.9989764059,Boissey,Ain,Auvergne-Rhône-Alpes,331.0,386.0
01051,01450,46.1960338503,5.47095075411,Bolozon,Ain,Auvergne-Rhône-Alpes,89.0,95.0
01052,01330,46.0232774841,4.99252709276,Bouligneux,Ain,Auvergne-Rhône-Alpes,309.0,327.0
01053,01000,46.2051520382,5.24602125501,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,40819.0,41525.0
